"Settings","Ustawienia"
"<strong>Note:</strong> Don't forget to set-up in the <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a> a Control URL to "http://www.yourdomain.com/ferbuy/payment/control/".","Uwaga: Nie zapomnij ustawić w <a href="https://my.ferbuy.com/merchant" target="_blank"> Merchant Backoffice </a>  strony kontrolnej dla "http://www.yourdomain.com/ferbuy/payment/control/".."
"Test/Live Mode","Test/Tryb na żywo"
"Switching between test and live mode. If you don't have an account <a href='http://www.ferbuy.com/' target='_blank'>Sign Up</a>.","Przełączanie pomiędzy wersją testową a trybem na żywo. Jeśli nie masz profilu <a href='http://www.ferbuy.com/' target='_blank'>Sign Up</a>."
"Site ID","Adres strony"
"Fill in you Site ID number. You can find your Site ID number at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>.","Wpisz adres strony. Możesz znaleźć adres swojej strony na <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>."
"Secret","Tajny klucz"
"Fill in you secret key for the site. You can create your secret key code at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>","Wprowadź swój własny kod dostępu dla strony. Możesz stworzyć swój kod dostępu na <ahref="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>"
"Create invoice after payment","Wygeneruj fakturę po dokonaniu płatności"
"Automatically create invoices after payment.","Wygeneruj automatycznie fakturę po dokonaniu płatności."
"Mail invoice to customer","Prześlij fakturę do klienta"
"Automatically mail invoices to a customer.","Automatycznie prześlij fakturę do klienta."
"Notify on failed invoice creation","Powiadom o nieudanym wygenerowaniu faktury"
"Notifications recipient","Odbiorca powiadomień"
"Transaction in progress status","Transakcja w trakcie realizacji"
"Transaction complete status","Transakcja zakończona powodzeniem"
"Transaction failed status","Transakcja zakończona niepowodzeniem"
"Debug","Debugowanie"
"Will log details for debugging purposes in /var/log/ferbuy.log file.","W pliku /var/log/ferbuy.log file. będą zapisywane dane dla debugowania."
"FerBuy (Buy Now, Pay Later)","FerBuy (Kup teraz, zapłać później)"
"Enabled","Włączone"
"Title","Tytuł"
"Minimum Order Total","Minimalna kwota zamówienia"
"Checkout option will not be available with an order that does not meet the minimum.","Złożenie zamówienia nie będzie możliwe przy zakupach poniżej kwoty minimalnej."
"Maximum Order Total","Maksymalna kwota zamówienia"
"Checkout option will not be available with an order that does exceeds the maximum.","Złożenie zamówienia nie będzie możliwe przy zakupach powyżej kwoty maksymalnej."
"Payment from applicable countries","Płatności z autoryzowanych krajów"
"Payment from Specific countries","Płatności z określonych krajów"
"Sort order","Sortowanie"
"Invoice # %s created and send to customer.","Faktura # %s została wygenerowana i wysłana do klienta."
"Invoice # %s created.","Faktura # %s została wygenerowana."
"Automatic invoice creation failed","Automatyczne wygenerowanie faktury zostało zakończone niepowodzeniem"
"Magento was unable to create an invoice for Order # %s after a successful payment via FerBuy (transaction # %s)","System Magento nie był w stanie wygenerować faktury dla zamówienia # %s po dokonaniu płatności przez FerBuy (transakcja # %s)"
"Magento was unable to create an invoice for <b>Order # %s</b> after a successful payment via FerBuy <b>(transaction # %s)</b>","System Magento nie był w stanie wygenerować faktury dla <b>zamówienia # %s</b> po dokonaniu płatności przez FerBuy <b>(transakcja # %s)</b>"
"Hacker attempt: Order total amount does not match FerBuy's gross total amount!","Próba hakera . Kwota zamówienia nie odpowiada kwocie dozwolonej przez FerBuy!"
"Transaction complete.","Transakcja zakończona powodzeniem."
"Transaction failed.","Transakcja zakończona niepowodzeniem."
"Transaction timed out.","Transakcja wygasła."
"Transaction canceled by user.","Transakcja anulowana przez użytkownika."
"Transaction started, waiting for payment.","Transakcja rozpoczęta, oczekiwanie na płatność."
"You will be redirected to FerBuy to finish your transaction.","Zostaniesz przekierowany na stronę FerBuy aby dokończyć transakcję."
